e1/do,e2/do,p1/do,p2/do,Nr,fu/fy,Fmax/fundt
2.8,4.7,2.8,0.0,2,1.40,3.06
2.8,4.7,2.8,0.0,3,1.40,3.07
2.8,4.7,2.8,0.0,4,1.40,2.54
1.2,1.2,0.0,2.4,1,1.12,1.22
1.2,1.2,0.0,2.7,1,1.12,1.21
1.2,1.2,0.0,3.0,1,1.12,1.21
1.2,1.5,0.0,2.4,1,1.12,1.24
1.2,1.5,0.0,2.7,1,1.12,1.22
1.2,1.5,0.0,3.0,1,1.12,1.21
1.5,1.5,0.0,3.0,1,1.12,1.54
1.5,1.5,0.0,3.5,1,1.12,1.55
1.5,1.5,0.0,4.0,1,1.12,1.52
1.5,2.0,0.0,3.0,1,1.12,1.58
1.5,2.0,0.0,3.5,1,1.12,1.59
1.5,2.0,0.0,4.0,1,1.12,1.57
1.2,1.2,0.0,2.4,1,1.04,1.24
1.2,1.2,0.0,2.7,1,1.04,1.25
1.2,1.2,0.0,3.0,1,1.04,1.25
1.2,1.5,0.0,2.4,1,1.04,1.27
1.2,1.5,0.0,2.7,1,1.04,1.27
1.2,1.5,0.0,3.0,1,1.04,1.25
1.5,1.5,0.0,3.0,1,1.04,1.55
1.5,1.5,0.0,3.5,1,1.04,1.57
1.5,1.5,0.0,4.0,1,1.04,1.61
1.5,2.0,0.0,3.0,1,1.04,1.64
1.5,2.0,0.0,3.5,1,1.04,1.59
1.5,2.0,0.0,4.0,1,1.04,1.59
1.2,1.2,0.0,2.4,1,1.04,1.22
1.2,1.2,0.0,2.7,1,1.04,1.21
1.2,1.2,0.0,3.0,1,1.04,1.20
1.2,1.5,0.0,2.4,1,1.04,1.27
1.2,1.5,0.0,2.7,1,1.04,1.26
1.2,1.5,0.0,3.0,1,1.04,1.25
1.5,1.5,0.0,3.0,1,1.04,1.58
1.5,1.5,0.0,3.5,1,1.04,1.55
1.5,1.5,0.0,4.0,1,1.04,1.57
1.5,2.0,0.0,3.0,1,1.04,1.63
1.5,2.0,0.0,3.5,1,1.04,1.63
1.5,2.0,0.0,4.0,1,1.04,1.62
1.5,4.5,2.0,0.0,3,1.06,1.54
2.0,4.5,2.0,0.0,3,1.06,1.79
3.0,4.5,2.0,0.0,3,1.06,2.15
1.5,4.5,2.0,0.0,4,1.06,1.58
1.5,4.5,2.0,0.0,4,1.06,1.57
2.0,4.5,2.0,0.0,4,1.06,1.76
3.0,4.5,2.0,0.0,4,1.06,2.05
3.0,4.5,2.0,0.0,4,1.06,2.03
1.5,4.5,2.5,0.0,3,1.06,1.87
1.5,4.5,2.5,0.0,4,1.06,1.92
2.5,4.5,2.5,0.0,4,1.06,2.25
3.0,4.5,2.5,0.0,4,1.06,2.25
2.0,4.5,3.0,0.0,3,1.06,2.28
2.5,4.5,3.0,0.0,3,1.06,2.50
1.2,4.5,3.0,0.0,4,1.06,2.11
1.5,4.5,3.0,0.0,4,1.06,2.22
2.0,4.5,3.0,0.0,4,1.06,2.28
2.5,4.5,3.0,0.0,4,1.06,2.28
3.0,4.5,3.0,0.0,4,1.06,2.28
3.0,4.5,3.0,0.0,4,1.06,2.27
5.0,4.5,3.0,0.0,4,1.06,2.23
2.0,4.5,3.5,0.0,4,1.06,2.26
2.0,4.5,3.5,0.0,4,1.06,2.19
2.3,2.3,0.0,0.0,1,1.12,2.04
1.9,1.9,0.0,0.0,1,1.12,1.72
2.3,2.3,0.0,0.0,1,1.12,2.47
2.3,2.1,0.0,0.0,1,1.13,2.22
2.3,1.9,0.0,0.0,1,1.13,2.33
1.8,2.3,0.0,0.0,1,1.22,2.38
2.3,2.3,0.0,0.0,1,1.22,2.80
2.7,2.3,0.0,0.0,1,1.22,3.29
2.3,2.1,0.0,0.0,1,1.22,3.01
1.8,2.3,0.0,0.0,1,1.23,1.88
2.3,2.3,0.0,0.0,1,1.23,2.22
2.1,2.1,0.0,0.0,1,1.23,1.89
1.9,1.9,0.0,0.0,1,1.23,1.65
2.1,2.1,0.0,0.0,1,1.26,1.79
1.9,1.9,0.0,0.0,1,1.26,1.50
2.3,2.3,0.0,0.0,1,1.54,3.07
2.3,2.1,0.0,0.0,1,1.08,3.05
2.3,1.9,0.0,0.0,1,1.08,2.60
1.8,2.3,0.0,0.0,1,1.08,2.48
2.3,2.1,0.0,0.0,1,1.32,2.59
2.3,1.9,0.0,0.0,1,1.32,2.70
1.8,2.3,0.0,0.0,1,1.14,1.76
2.1,2.1,0.0,0.0,1,1.14,2.19
1.9,1.9,0.0,0.0,1,1.14,1.90
1.9,1.9,0.0,0.0,1,1.24,1.81
1.6,1.6,0.0,0.0,1,1.53,1.67
1.5,3.0,0.0,0.0,1,1.12,1.67
1.5,3.0,0.0,0.0,1,1.04,1.61
1.5,3.0,0.0,0.0,1,1.04,1.66
1.0,1.0,0.0,0.0,1,1.07,0.90
1.0,1.2,0.0,0.0,1,1.07,0.83
1.2,1.2,0.0,0.0,1,1.07,1.02
1.0,1.5,0.0,0.0,1,1.07,0.97
1.1,1.5,0.0,0.0,1,1.07,1.03
1.0,2.0,0.0,0.0,1,1.07,0.99
1.2,2.0,0.0,0.0,1,1.07,1.22
2.0,2.0,0.0,0.0,1,1.07,1.98
2.0,2.5,0.0,0.0,1,1.07,3.20
1.2,1.0,0.0,0.0,1,1.07,1.06
2.0,1.5,0.0,3.5,1,1.06,2.29
2.0,1.5,0.0,3.0,1,1.06,2.27
2.0,1.5,0.0,2.5,1,1.06,2.01
2.0,2.0,0.0,3.0,1,1.06,2.26
2.0,1.0,0.0,3.0,1,1.06,1.77
2.5,1.5,0.0,3.0,1,1.06,2.38
1.5,1.5,0.0,3.0,1,1.06,1.80
2.0,1.5,0.0,3.0,1,1.06,2.23
2.0,1.5,0.0,3.0,1,1.06,2.05
2.0,1.5,0.0,3.0,1,1.06,2.28
1.9,1.5,0.0,2.9,1,1.06,2.09
2.0,1.5,3.5,0.0,2,1.06,1.22
2.0,1.5,3.0,0.0,2,1.06,1.20
2.0,1.5,2.5,0.0,2,1.06,1.20
2.0,2.0,3.0,0.0,2,1.06,1.72
2.0,1.0,3.0,0.0,2,1.06,0.65
2.5,1.5,3.0,0.0,2,1.06,1.22
1.5,1.5,3.0,0.0,2,1.06,1.22
2.0,1.5,3.0,0.0,2,1.06,1.22
2.0,1.5,3.0,0.0,2,1.06,1.19
2.0,1.5,3.0,0.0,2,1.06,1.24
1.9,1.5,2.9,0.0,2,1.06,1.25
1.2,1.2,0.0,2.4,1,1.23,1.34
1.2,1.4,0.0,2.4,1,1.23,1.27
1.2,1.5,0.0,2.4,1,1.23,1.29
1.2,1.2,0.0,2.7,1,1.23,1.24
1.2,1.4,0.0,2.7,1,1.23,1.27
1.2,1.5,0.0,2.7,1,1.23,1.26
1.2,1.2,0.0,3.0,1,1.23,1.33
1.2,1.4,0.0,3.0,1,1.23,1.31
1.2,1.5,0.0,3.0,1,1.23,1.33
1.2,0.9,0.0,2.8,1,1.23,0.93
1.2,1.1,0.0,2.8,1,1.23,1.03
1.2,0.9,0.0,2.1,1,1.23,1.08
1.2,1.1,0.0,2.1,1,1.23,1.25
3.0,2.4,0.0,0.0,1,1.31,3.54
3.0,3.1,0.0,0.0,1,1.31,3.67
3.0,4.0,0.0,0.0,1,1.31,3.94
3.0,5.0,0.0,0.0,1,1.31,3.99
3.5,5.0,0.0,0.0,1,1.31,4.44
3.8,7.5,0.0,0.0,1,1.31,4.90
4.4,7.5,0.0,0.0,1,1.31,5.44
5.0,3.4,0.0,0.0,1,1.31,5.22
5.0,5.0,0.0,0.0,1,1.31,5.08
4.9,7.5,0.0,0.0,1,1.31,4.96
1.5,5.0,2.2,0.0,2,1.31,2.01
2.0,5.0,2.2,0.0,2,1.31,2.29
2.4,5.0,2.2,0.0,2,1.31,2.48
3.0,5.0,2.2,0.0,2,1.31,2.84
5.0,5.0,2.2,0.0,2,1.31,3.84
2.5,5.0,2.5,0.0,2,1.31,2.73
5.0,5.0,2.5,0.0,2,1.31,4.09
1.5,6.7,3.0,0.0,2,1.31,2.54
3.0,6.7,3.0,0.0,2,1.31,3.31
4.0,6.7,3.0,0.0,2,1.31,3.87
5.0,6.7,3.0,0.0,2,1.31,3.91
3.0,6.7,4.0,0.0,2,1.31,3.81
0.8,6.7,2.2,0.0,2,1.19,1.58
1.3,6.7,2.2,0.0,2,1.19,1.87
1.8,6.7,2.2,0.0,2,1.15,2.08
2.2,6.7,2.2,0.0,2,1.15,2.29
0.9,6.7,2.2,0.0,3,1.22,1.64
1.1,6.7,2.2,0.0,3,1.23,1.72
1.4,6.7,2.2,0.0,3,1.23,1.79
1.7,6.7,2.2,0.0,3,1.15,1.94
2.2,6.7,2.2,0.0,3,1.23,2.06
0.9,6.7,2.2,0.0,4,1.21,1.56
1.3,6.7,2.2,0.0,4,1.21,1.71
1.8,6.7,2.2,0.0,4,1.21,1.83
2.2,6.7,2.2,0.0,4,1.19,1.96
3.6,0.9,2.2,2.8,3,1.22,0.42
3.6,1.1,2.2,2.8,3,1.22,0.49
3.6,1.8,2.2,2.8,3,1.23,0.75
3.6,2.2,2.2,2.8,3,1.23,0.91
3.6,0.9,2.2,4.5,3,1.22,0.69
3.6,1.1,2.2,4.5,3,1.23,0.78
3.6,1.8,2.2,4.5,3,1.22,1.05
3.6,2.2,2.2,4.5,3,1.22,1.22
3.6,0.9,2.2,5.6,3,1.22,0.87
3.6,1.1,2.2,5.6,3,1.23,0.96
3.6,1.8,2.2,5.6,3,1.22,1.23
3.6,2.2,2.2,8.4,3,1.22,1.40
1.3,5.0,2.2,8.4,3,1.23,1.88
1.1,3.3,2.2,8.4,3,1.23,1.73
2.2,3.4,2.2,4.5,2,1.23,2.12
1.8,0.9,2.2,2.8,3,1.19,0.46
1.8,1.3,2.2,2.8,3,1.19,0.57
1.8,1.8,2.2,2.8,3,1.19,0.69
1.8,2.7,2.2,2.8,3,1.19,0.90
2.2,1.3,2.2,4.5,3,1.23,0.95
1.3,1.3,2.2,4.5,2,1.19,1.44
1.8,0.9,2.2,2.8,3,1.18,0.47
1.8,1.4,2.2,2.8,3,1.17,0.56
1.8,1.8,2.2,2.8,3,1.17,0.64
1.8,2.7,2.2,2.8,3,1.17,0.80
3.5,3.6,2.2,4.5,3,1.17,0.96
1.3,1.3,2.2,4.5,3,1.15,0.98
1.0,7.5,2.2,0.0,2,1.60,1.69
1.5,7.5,2.2,0.0,2,1.60,1.98
2.0,7.5,2.2,0.0,2,1.60,2.21
2.5,7.5,2.2,0.0,2,1.60,2.43
1.0,7.5,2.2,0.0,3,1.60,1.65
1.3,7.5,2.2,0.0,3,1.59,1.71
1.5,7.5,2.2,0.0,3,1.70,1.80
2.0,7.5,2.2,0.0,3,1.60,2.02
2.5,7.5,2.2,0.0,3,1.70,2.10
1.0,7.5,2.2,0.0,4,1.60,1.64
1.5,7.5,2.2,0.0,4,1.60,1.76
2.0,7.5,2.2,0.0,4,1.60,1.93
2.4,7.5,2.2,0.0,4,1.60,2.13
4.0,1.0,2.2,2.8,3,1.60,0.40
4.1,1.2,2.2,2.8,3,1.60,0.48
4.0,2.0,2.2,2.8,3,1.70,0.73
4.0,2.5,2.2,2.8,3,1.70,0.89
4.1,1.0,2.2,4.5,3,1.60,0.66
4.0,1.3,2.2,4.5,3,1.70,0.75
4.0,2.0,2.2,4.5,3,1.60,0.99
4.0,2.5,2.2,4.5,3,1.60,1.16
4.0,1.3,2.2,5.7,3,1.70,0.90
4.0,2.0,2.2,5.6,3,1.60,1.15
4.0,2.5,2.2,5.6,3,1.60,1.30
1.5,5.6,2.2,5.6,3,1.59,1.87
1.5,1.5,2.2,8.4,3,1.59,1.90
2.5,2.5,2.2,8.4,3,1.59,2.15
2.5,2.5,2.2,8.4,3,1.60,1.71
2.0,2.0,2.2,4.5,2,1.60,0.66
2.0,2.0,2.2,2.8,3,1.60,0.56
2.0,2.0,2.2,2.8,3,1.60,0.69
2.0,2.0,2.2,2.8,3,1.60,0.87
2.5,2.5,2.2,2.8,3,1.60,0.90
1.5,1.5,2.2,4.5,3,1.60,1.28
2.0,2.0,2.2,4.5,2,1.60,0.71
1.9,1.9,2.2,2.8,3,1.60,0.55
2.0,2.0,2.2,2.8,3,1.60,0.63
2.0,2.0,2.2,2.8,3,1.60,0.77
1.5,1.5,2.2,2.8,3,1.60,0.97
2.5,2.5,2.2,2.8,3,1.60,0.96
1.0,7.5,2.2,4.5,3,1.26,0.28
1.6,7.5,2.2,0.0,2,1.23,2.08
2.0,7.5,2.2,0.0,2,1.25,2.21
2.5,7.5,2.2,0.0,2,1.26,2.54
1.0,7.5,2.2,0.0,2,1.30,2.53
1.3,7.5,2.2,0.0,3,1.32,1.77
1.5,7.5,2.2,0.0,3,1.34,1.84
2.0,7.5,2.2,0.0,3,1.26,2.09
2.5,7.5,2.2,0.0,3,1.34,2.16
1.1,7.5,2.2,0.0,3,1.26,2.30
